Username,Rating,Review Text,casefolding,normalisasi,tokenize,stopword,stemming
Kamilya sari Kurniawan,1,LinkAja ini sama dengan BSI selalu gagal ambil foto wajahsabar sabar sabar,linkaja ini sama dengan bsi selalu gagal ambil foto wajahsabar sabar sabar,linkaja ini sama dengan bsi selalu gagal ambil foto wajahsabar sabar sabar,"['linkaja', 'ini', 'sama', 'dengan', 'bsi', 'selalu', 'gagal', 'ambil', 'foto', 'wajahsabar', 'sabar', 'sabar']","['linkaja', 'bsi', 'gagal', 'ambil', 'foto', 'wajahsabar', 'sabar', 'sabar']","linkaja, bsi, gagal, ambil, foto, wajahsabar, sabar, sabar"
Putra Prijanarto,1,Eror terus masa mau masuk ke akun sendiri gak bisa bisa,eror terus masa mau masuk ke akun sendiri gak bisa bisa,eror terus masa mau masuk ke akun sendiri tidak bisa bisa,"['eror', 'terus', 'masa', 'mau', 'masuk', 'ke', 'akun', 'sendiri', 'tidak', 'bisa', 'bisa']","['eror', 'masuk', 'akun']","eror, masuk, akun"
Juhardiansyah 27,1,Woi itu duit aku pending rb lama kali mau di chat cs nya robot gmna ni Woi lama kali pendingnya gmna ni kerja kalian,woi itu duit aku pending rb lama kali mau di chat cs nya robot gmna ni woi lama kali pendingnya gmna ni kerja kalian,woi itu duit aku pending ribu lama kali mau di chat customer service ya robot bagaimana nihh woi lama kali pendingya bagaimana nihh kerja kalian,"['woi', 'itu', 'duit', 'aku', 'pending', 'ribu', 'lama', 'kali', 'mau', 'di', 'chat', 'customer', 'service', 'ya', 'robot', 'bagaimana', 'nihh', 'woi', 'lama', 'kali', 'pendingya', 'bagaimana', 'nihh', 'kerja', 'kalian']","['woi', 'duit', 'pending', 'ribu', 'kali', 'chat', 'customer', 'service', 'robot', 'nihh', 'woi', 'kali', 'pendingya', 'nihh', 'kerja']","woi, duit, pending, ribu, kali, chat, customer, service, robot, nihh, woi, kali, pendingya, nihh, kerja"
Abu Habibah,5,Siip,siip,sip,['sip'],['sip'],sip
reza rambe,1,saldo saya yg terdebet karna tarik tunai di ATM tgl nov sampe sekarang belum balik hubungi layanan pelanggan disuruh menunggu terus sangatsangat stidak disarankan menggunakan maLink aja lebih banyak ruginya,saldo saya yg terdebet karna tarik tunai di atm tgl nov sampe sekarang belum balik hubungi layanan pelanggan disuruh menunggu terus sangatsangat stidak disarankan menggunakan malink aja lebih banyak ruginya,saldo saya yang terdebet karena tarik tunai di atm tanggal nov sampai sekarang belum balik hubungi layanan pelanggan disuruh menunggu terus sangatsangat stidak disarankan menggunakan malink saja lebih banyak ruginya,"['saldo', 'saya', 'yang', 'terdebet', 'karena', 'tarik', 'tunai', 'di', 'atm', 'tanggal', 'nov', 'sampai', 'sekarang', 'belum', 'balik', 'hubungi', 'layanan', 'pelanggan', 'disuruh', 'menunggu', 'terus', 'sangatsangat', 'stidak', 'disarankan', 'menggunakan', 'malink', 'saja', 'lebih', 'banyak', 'ruginya']","['saldo', 'terdebet', 'tarik', 'tunai', 'atm', 'tanggal', 'nov', 'hubungi', 'layanan', 'pelanggan', 'disuruh', 'menunggu', 'sangatsangat', 'stidak', 'disarankan', 'malink', 'ruginya']","saldo, debet, tarik, tunai, atm, tanggal, nov, hubung, layan, langgan, suruh, tunggu, sangatsangat, stidak, saran, malink, rugi"
arman syafii,2,Penarikan uang saya RB kok gak keluar saldo udah berkurang gimana ni woiiikok gak keluar duit saya,penarikan uang saya rb kok gak keluar saldo udah berkurang gimana ni woiiikok gak keluar duit saya,penarikan uang saya ribu kok tidak keluar saldo sudah berkurang bagaimana nih woiiikok tidak keluar duit saya,"['penarikan', 'uang', 'saya', 'ribu', 'kok', 'tidak', 'keluar', 'saldo', 'sudah', 'berkurang', 'bagaimana', 'nih', 'woiiikok', 'tidak', 'keluar', 'duit', 'saya']","['penarikan', 'uang', 'ribu', 'saldo', 'berkurang', 'nih', 'woiiikok', 'duit']","tari, uang, ribu, saldo, kurang, nih, woiiikok, duit"
Ranra jombang,1,Lama lama link aja tidak bermutupembayaran pakai Qrish dari smlam pendng terusmau chat ke cs yg balas cuma botkalau gak bsa bayar pakai Qrish tolong jangan di pedingda males aku lama pakai apliksih inikeluh kesah cuma bot yg balas,lama lama link aja tidak bermutupembayaran pakai qrish dari smlam pendng terusmau chat ke cs yg balas cuma botkalau gak bsa bayar pakai qrish tolong jangan di pedingda males aku lama pakai apliksih inikeluh kesah cuma bot yg balas,lama lama link saja tidak bermutupembayaran pakai qrish dari smlam pendng terusmau chat ke customer service yang balas cuma botkalau tidak bisa bayar pakai qrish tolong jangan di pedingda malas aku lama pakai apliksih inikeluh kesah cuma bot yang balas,"['lama', 'lama', 'link', 'saja', 'tidak', 'bermutupembayaran', 'pakai', 'qrish', 'dari', 'smlam', 'pendng', 'terusmau', 'chat', 'ke', 'customer', 'service', 'yang', 'balas', 'cuma', 'botkalau', 'tidak', 'bisa', 'bayar', 'pakai', 'qrish', 'tolong', 'jangan', 'di', 'pedingda', 'malas', 'aku', 'lama', 'pakai', 'apliksih', 'inikeluh', 'kesah', 'cuma', 'bot', 'yang', 'balas']","['link', 'bermutupembayaran', 'pakai', 'qrish', 'smlam', 'pendng', 'terusmau', 'chat', 'customer', 'service', 'balas', 'botkalau', 'bayar', 'pakai', 'qrish', 'tolong', 'pedingda', 'malas', 'pakai', 'apliksih', 'inikeluh', 'kesah', 'bot', 'balas']","link, bermutupembayaran, pakai, qrish, smlam, pendng, terusmau, chat, customer, service, balas, botkalau, bayar, pakai, qrish, tolong, pedingda, malas, pakai, apliksih, inikeluh, kesah, bot, balas"
Aguy Aguy,5,Bagus sekali,bagus sekali,bagus sekali,"['bagus', 'sekali']",['bagus'],bagus
Dewi Rtno,5,Bntu upgrade,bntu upgrade,bantu upgrade,"['bantu', 'upgrade']","['bantu', 'upgrade']","bantu, upgrade"
Rayhan Lutfi,1,Apalah ni baru juga download nomor anda terblokir Trus gk ada solusi lgi gk bener,apalah ni baru juga download nomor anda terblokir trus gk ada solusi lgi gk bener,apalah nih baru juga download nomor anda terblokir terus tidak ada solusi lagi tidak benar,"['apalah', 'nih', 'baru', 'juga', 'download', 'nomor', 'anda', 'terblokir', 'terus', 'tidak', 'ada', 'solusi', 'lagi', 'tidak', 'benar']","['apalah', 'nih', 'download', 'nomor', 'terblokir', 'solusi']","apa, nih, download, nomor, blokir, solusi"
Fajar Laros,5,Ok,ok,ok,['ok'],['ok'],ok
Yudi Anton,1,awalnya pake aplikasi ini bagus tapi makin kesini makin kesono ini aplikasi link aja chat live juga gak ada guna nya chat cs sudah terhubung tapi keyword nya terkunci tidak bisa mengetik apapun jadi gak ada guna dan fungsi chat live cs kirim email juga no responParahhh,awalnya pake aplikasi ini bagus tapi makin kesini makin kesono ini aplikasi link aja chat live juga gak ada guna nya chat cs sudah terhubung tapi keyword nya terkunci tidak bisa mengetik apapun jadi gak ada guna dan fungsi chat live cs kirim email juga no responparahhh,awalya pakai aplikasi ini bagus tapi makin kesini makin kesono ini aplikasi link saja chat live juga tidak ada guna ya chat customer service sudah terhubung tapi keyword ya terkunci tidak bisa mengetik apapun jadi tidak ada guna dan fungsi chat live customer service kirim email juga no responparahhh,"['awalya', 'pakai', 'aplikasi', 'ini', 'bagus', 'tapi', 'makin', 'kesini', 'makin', 'kesono', 'ini', 'aplikasi', 'link', 'saja', 'chat', 'live', 'juga', 'tidak', 'ada', 'guna', 'ya', 'chat', 'customer', 'service', 'sudah', 'terhubung', 'tapi', 'keyword', 'ya', 'terkunci', 'tidak', 'bisa', 'mengetik', 'apapun', 'jadi', 'tidak', 'ada', 'guna', 'dan', 'fungsi', 'chat', 'live', 'customer', 'service', 'kirim', 'email', 'juga', 'no', 'responparahhh']","['awalya', 'pakai', 'aplikasi', 'bagus', 'kesini', 'kesono', 'aplikasi', 'link', 'chat', 'live', 'chat', 'customer', 'service', 'terhubung', 'keyword', 'terkunci', 'mengetik', 'apapun', 'fungsi', 'chat', 'live', 'customer', 'service', 'kirim', 'email', 'no', 'responparahhh']","awalya, pakai, aplikasi, bagus, kesini, sono, aplikasi, link, chat, live, chat, customer, service, hubung, keyword, kunci, etik, apa, fungsi, chat, live, customer, service, kirim, email, no, responparahhh"
DESKY NOVRIOGA,4,uokk,uokk,uokk,['uokk'],['uokk'],uokk
PGJG,1,Saya melakukan transaksi penarikan tunai linkaja di ATM BNI sebesar Rp status transaksi gagal di ATM karena ATM kosong Tapi di aplikasi linkaja statusnya sukses dan saldo terpotong Alhasil saldo saya hilang tanpa menerima uang tunai Mohon di tingkatkan pelayan linkaja,saya melakukan transaksi penarikan tunai linkaja di atm bni sebesar rp status transaksi gagal di atm karena atm kosong tapi di aplikasi linkaja statusnya sukses dan saldo terpotong alhasil saldo saya hilang tanpa menerima uang tunai mohon di tingkatkan pelayan linkaja,saya melakukan transaksi penarikan tunai linkaja di atm bni sebesar rp status transaksi gagal di atm karena atm kosong tapi di aplikasi linkaja statusnya sukses dan saldo terpotong alhasil saldo saya hilang tanpa menerima uang tunai mohon di tingkatkan pelayan linkaja,"['saya', 'melakukan', 'transaksi', 'penarikan', 'tunai', 'linkaja', 'di', 'atm', 'bni', 'sebesar', 'rp', 'status', 'transaksi', 'gagal', 'di', 'atm', 'karena', 'atm', 'kosong', 'tapi', 'di', 'aplikasi', 'linkaja', 'statusnya', 'sukses', 'dan', 'saldo', 'terpotong', 'alhasil', 'saldo', 'saya', 'hilang', 'tanpa', 'menerima', 'uang', 'tunai', 'mohon', 'di', 'tingkatkan', 'pelayan', 'linkaja']","['transaksi', 'penarikan', 'tunai', 'linkaja', 'atm', 'bni', 'rp', 'status', 'transaksi', 'gagal', 'atm', 'atm', 'kosong', 'aplikasi', 'linkaja', 'statusnya', 'sukses', 'saldo', 'terpotong', 'alhasil', 'saldo', 'hilang', 'menerima', 'uang', 'tunai', 'mohon', 'tingkatkan', 'pelayan', 'linkaja']","transaksi, tari, tunai, linkaja, atm, bni, rp, status, transaksi, gagal, atm, atm, kosong, aplikasi, linkaja, status, sukses, saldo, potong, alhasil, saldo, hilang, terima, uang, tunai, mohon, tingkat, layan, linkaja"
Agus Lukman,5,Kenapa proses upgrade premium lama sekali saya sudah menunggu lebih dari jam tidak ada konfirmasi,kenapa proses upgrade premium lama sekali saya sudah menunggu lebih dari jam tidak ada konfirmasi,kenapa proses upgrade premium lama sekali saya sudah menunggu lebih dari jam tidak ada konfirmasi,"['kenapa', 'proses', 'upgrade', 'premium', 'lama', 'sekali', 'saya', 'sudah', 'menunggu', 'lebih', 'dari', 'jam', 'tidak', 'ada', 'konfirmasi']","['proses', 'upgrade', 'premium', 'menunggu', 'jam', 'konfirmasi']","proses, upgrade, premium, tunggu, jam, konfirmasi"
Lala Sukirman,1,kok pengiriman saya banyak tidak masuk,kok pengiriman saya banyak tidak masuk,kok pengiriman saya banyak tidak masuk,"['kok', 'pengiriman', 'saya', 'banyak', 'tidak', 'masuk']","['pengiriman', 'masuk']","kirim, masuk"
Zizah Lela,1,Kecewa transfer ke mybca dari linkajadi awal seblm trnsfer biaya transfersaya coba transfer berhasilternyata yang masuk uang transferan ke mybca yg tiba jadi mngkin yg lain juga mengalami seperti saya,kecewa transfer ke mybca dari linkajadi awal seblm trnsfer biaya transfersaya coba transfer berhasilternyata yang masuk uang transferan ke mybca yg tiba jadi mngkin yg lain juga mengalami seperti saya,kecewa transfer ke mybca dari linkajadi awal seblm trnsfer biaya transfersaya coba transfer berhasilternyata yang masuk uang transferan ke mybca yang tiba jadi mungkin yang lain juga mengalami seperti saya,"['kecewa', 'transfer', 'ke', 'mybca', 'dari', 'linkajadi', 'awal', 'seblm', 'trnsfer', 'biaya', 'transfersaya', 'coba', 'transfer', 'berhasilternyata', 'yang', 'masuk', 'uang', 'transferan', 'ke', 'mybca', 'yang', 'tiba', 'jadi', 'mungkin', 'yang', 'lain', 'juga', 'mengalami', 'seperti', 'saya']","['kecewa', 'transfer', 'mybca', 'linkajadi', 'seblm', 'trnsfer', 'biaya', 'transfersaya', 'coba', 'transfer', 'berhasilternyata', 'masuk', 'uang', 'transferan', 'mybca', 'mengalami']","kecewa, transfer, mybca, linkajadi, seblm, trnsfer, biaya, transfersaya, coba, transfer, berhasilternyata, masuk, uang, transfer, mybca, alami"
Awan,3,Ayo dong bebenah agar link aja kembali dipercaya seperti dulu di masa jaya nya,ayo dong bebenah agar link aja kembali dipercaya seperti dulu di masa jaya nya,ayo dong bebenah agar link saja kembali dipercaya seperti dulu di masa jaya ya,"['ayo', 'dong', 'bebenah', 'agar', 'link', 'saja', 'kembali', 'dipercaya', 'seperti', 'dulu', 'di', 'masa', 'jaya', 'ya']","['ayo', 'bebenah', 'link', 'dipercaya', 'jaya']","ayo, bebenah, link, percaya, jaya"
Riko Febriawan,1,Woyy lah link ajaa kenapa dah gabisa QR Mau di TF keda pake BANGK PERMATA aja gabisa loo kenapa dah hadehhh Tolongg dong perbaikiii Segeraaa,woyy lah link ajaa kenapa dah gabisa qr mau di tf keda pake bangk permata aja gabisa loo kenapa dah hadehhh tolongg dong perbaikiii segeraaa,woyy lah link ssaja kenapa susudah tidak bisa qr mau di transfer keda pakai bangk permata saja tidak bisa lo kenapa susudah hadehhh tolongg dong perbaikiii segeraaa,"['woyy', 'lah', 'link', 'ssaja', 'kenapa', 'susudah', 'tidak', 'bisa', 'qr', 'mau', 'di', 'transfer', 'keda', 'pakai', 'bangk', 'permata', 'saja', 'tidak', 'bisa', 'lo', 'kenapa', 'susudah', 'hadehhh', 'tolongg', 'dong', 'perbaikiii', 'segeraaa']","['woyy', 'link', 'ssaja', 'susudah', 'qr', 'transfer', 'keda', 'pakai', 'bangk', 'permata', 'lo', 'susudah', 'hadehhh', 'tolongg', 'perbaikiii', 'segeraaa']","woyy, link, ssaja, susudah, qr, transfer, keda, pakai, bangk, permata, lo, susudah, hadehhh, tolongg, perbaikiii, segeraaa"
Muhammad Fitrah hamdani,5,Amazing,amazing,amazing,['amazing'],['amazing'],amazing
Sugyomi,1,Jelek banget padahal jaringan lancar sudah transaksi malah malah kena kesalahan jaringan udah gitu terpotong lagi saldonya aneh benget nih apk dompet digital ampas kapok saya topup di sini Sampah,jelek banget padahal jaringan lancar sudah transaksi malah malah kena kesalahan jaringan udah gitu terpotong lagi saldonya aneh benget nih apk dompet digital ampas kapok saya topup di sini sampah,jelek banget padahal jaringan lancar ssudah transaksi malah malah kena kesalahan jaringan sudah begitu terpotong lagi saldonya aneh benget nih apk dompet digital ampas kapok saya topup di sini sampah,"['jelek', 'banget', 'padahal', 'jaringan', 'lancar', 'ssudah', 'transaksi', 'malah', 'malah', 'kena', 'kesalahan', 'jaringan', 'sudah', 'begitu', 'terpotong', 'lagi', 'saldonya', 'aneh', 'benget', 'nih', 'apk', 'dompet', 'digital', 'ampas', 'kapok', 'saya', 'topup', 'di', 'sini', 'sampah']","['jelek', 'banget', 'jaringan', 'lancar', 'ssudah', 'transaksi', 'kena', 'kesalahan', 'jaringan', 'terpotong', 'saldonya', 'aneh', 'benget', 'nih', 'apk', 'dompet', 'digital', 'ampas', 'kapok', 'topup', 'sampah']","jelek, banget, jaring, lancar, ssudah, transaksi, kena, salah, jaring, potong, saldo, aneh, benget, nih, apk, dompet, digital, ampas, kapok, topup, sampah"
Muhamad Sabri,5,Aplikasi bagus,aplikasi bagus,aplikasi bagus,"['aplikasi', 'bagus']","['aplikasi', 'bagus']","aplikasi, bagus"
Diah H,1,Udah top up di indomaret malah saldonya ga masuk masuk sampek sekarang Padahal keterangan di Struknya sukses Tapi saldo yang di top up tidak masuk Saya kecewa ga akan pakai aplikasi ini lagi,udah top up di indomaret malah saldonya ga masuk masuk sampek sekarang padahal keterangan di struknya sukses tapi saldo yang di top up tidak masuk saya kecewa ga akan pakai aplikasi ini lagi,sudah top up di indomaret malah saldonya tidak masuk masuk sampai sekarang padahal keterantidakn di struknya sukses tapi saldo yang di top up tidak masuk saya kecewa tidak akan pakai aplikasi ini lagi,"['sudah', 'top', 'up', 'di', 'indomaret', 'malah', 'saldonya', 'tidak', 'masuk', 'masuk', 'sampai', 'sekarang', 'padahal', 'keterantidakn', 'di', 'struknya', 'sukses', 'tapi', 'saldo', 'yang', 'di', 'top', 'up', 'tidak', 'masuk', 'saya', 'kecewa', 'tidak', 'akan', 'pakai', 'aplikasi', 'ini', 'lagi']","['top', 'up', 'indomaret', 'saldonya', 'masuk', 'masuk', 'keterantidakn', 'struknya', 'sukses', 'saldo', 'top', 'up', 'masuk', 'kecewa', 'pakai', 'aplikasi']","top, up, indomaret, saldo, masuk, masuk, keterantidakn, struknya, sukses, saldo, top, up, masuk, kecewa, pakai, aplikasi"
Ery Ekklesia,5,Tingkatkan,tingkatkan,tingkatkan,['tingkatkan'],['tingkatkan'],tingkat
Mball Iqbal,5,Sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu
Baba furkan,4,Tolong kak Di tingkatkan lagi Tampilan Saldo mungkin Bisah Di Sembunyikan Kaya yg Lain Jangan Di perlihatkan angka Saldonya Trimaksih,tolong kak di tingkatkan lagi tampilan saldo mungkin bisah di sembunyikan kaya yg lain jangan di perlihatkan angka saldonya trimaksih,tolong kak di tingkatkan lagi tampilan saldo mungkin bisah di sembunyikan kayak yang lain jangan di perlihatkan angka saldonya trimaksih,"['tolong', 'kak', 'di', 'tingkatkan', 'lagi', 'tampilan', 'saldo', 'mungkin', 'bisah', 'di', 'sembunyikan', 'kayak', 'yang', 'lain', 'jangan', 'di', 'perlihatkan', 'angka', 'saldonya', 'trimaksih']","['tolong', 'kak', 'tingkatkan', 'tampilan', 'saldo', 'bisah', 'sembunyikan', 'kayak', 'perlihatkan', 'angka', 'saldonya', 'trimaksih']","tolong, kak, tingkat, tampil, saldo, bisah, sembunyi, kayak, lihat, angka, saldo, trimaksih"
Robit Afifuddin,5,belum di buka linkaja,belum di buka linkaja,belum di buka linkaja,"['belum', 'di', 'buka', 'linkaja']","['buka', 'linkaja']","buka, linkaja"
Kang Gudel,1,Pelayanan buruk respon lama Perintah suruh klik tapi link nya gak bisa di klik Tau tau udah di akhirin chatnya,pelayanan buruk respon lama perintah suruh klik tapi link nya gak bisa di klik tau tau udah di akhirin chatnya,pelayanan buruk respon lama perintah suruh klik tapi link ya tidak bisa di klik tau tau sudah di akhirin chatya,"['pelayanan', 'buruk', 'respon', 'lama', 'perintah', 'suruh', 'klik', 'tapi', 'link', 'ya', 'tidak', 'bisa', 'di', 'klik', 'tau', 'tau', 'sudah', 'di', 'akhirin', 'chatya']","['pelayanan', 'buruk', 'respon', 'perintah', 'suruh', 'klik', 'link', 'klik', 'tau', 'tau', 'akhirin', 'chatya']","layan, buruk, respon, perintah, suruh, klik, link, klik, tau, tau, akhirin, chatya"
Andri Nur,1,Mohon di tambahkan fiture login dengan gmail karna no HP saya sudah hangus apk sangat payahhh,mohon di tambahkan fiture login dengan gmail karna no hp saya sudah hangus apk sangat payahhh,mohon di tambahkan fiture login dengan gmail karena no hp saya sudah hangus apk sangat payahhh,"['mohon', 'di', 'tambahkan', 'fiture', 'login', 'dengan', 'gmail', 'karena', 'no', 'hp', 'saya', 'sudah', 'hangus', 'apk', 'sangat', 'payahhh']","['mohon', 'tambahkan', 'fiture', 'login', 'gmail', 'no', 'hp', 'hangus', 'apk', 'payahhh']","mohon, tambah, fiture, login, gmail, no, hp, hangus, apk, payahhh"
Zul Herman,5,,,,[],[],
topayu rifai,1,Apk parahMasi DANA yg jauh lebih baik,apk parahmasi dana yg jauh lebih baik,apk parahmasi dana yang jauh lebih baik,"['apk', 'parahmasi', 'dana', 'yang', 'jauh', 'lebih', 'baik']","['apk', 'parahmasi', 'dana']","apk, parahmasi, dana"
Herada Mitsyumi Kyusuda (JZ13CKB),5,Belum Coba,belum coba,belum coba,"['belum', 'coba']",['coba'],coba
Nasya Putri,5,The best link ajh,the best link ajh,the best link saja,"['the', 'best', 'link', 'saja']","['the', 'best', 'link']","the, best, link"
Egoh Ahmad,5,Cemplong,cemplong,cemplong,['cemplong'],['cemplong'],cemplong
Lisya Pesek,1,Kenapa aplikasinya link gak bisa di buka,kenapa aplikasinya link gak bisa di buka,kenapa aplikasinya link tidak bisa di buka,"['kenapa', 'aplikasinya', 'link', 'tidak', 'bisa', 'di', 'buka']","['aplikasinya', 'link', 'buka']","aplikasi, link, buka"
Imam Noersyeha,1,Aplikasi SAMPAH isi emoney pakai linkaja saldo emoney tidak bertambah saldo linkaja terpotong Hubungi live chat dan web resmi tidak ada tanggapan x Makan la duit haram situ kalau bukan karena perusahaan yang suruhogah di download,aplikasi sampah isi emoney pakai linkaja saldo emoney tidak bertambah saldo linkaja terpotong hubungi live chat dan web resmi tidak ada tanggapan x makan la duit haram situ kalau bukan karena perusahaan yang suruhogah di download,aplikasi sampah isi emoney pakai linkaja saldo emoney tidak bertambah saldo linkaja terpotong hubungi live chat dan web resmi tidak ada tanggapan kali makan lah duit haram situ kalahu bukan karena perusahaan yang suruhogah di download,"['aplikasi', 'sampah', 'isi', 'emoney', 'pakai', 'linkaja', 'saldo', 'emoney', 'tidak', 'bertambah', 'saldo', 'linkaja', 'terpotong', 'hubungi', 'live', 'chat', 'dan', 'web', 'resmi', 'tidak', 'ada', 'tanggapan', 'kali', 'makan', 'lah', 'duit', 'haram', 'situ', 'kalahu', 'bukan', 'karena', 'perusahaan', 'yang', 'suruhogah', 'di', 'download']","['aplikasi', 'sampah', 'isi', 'emoney', 'pakai', 'linkaja', 'saldo', 'emoney', 'bertambah', 'saldo', 'linkaja', 'terpotong', 'hubungi', 'live', 'chat', 'web', 'resmi', 'tanggapan', 'kali', 'makan', 'duit', 'haram', 'situ', 'kalahu', 'perusahaan', 'suruhogah', 'download']","aplikasi, sampah, isi, emoney, pakai, linkaja, saldo, emoney, tambah, saldo, linkaja, potong, hubung, live, chat, web, resmi, tanggap, kali, makan, duit, haram, situ, kalahu, usaha, suruhogah, download"
