stemming,label,weight,Rating
"badan, usaha, penggelola, layan, uang, ubah, nama, ptfintek, finarya, ptfintek, karya, nusantaraapa, jadiya, nasabahpenabungapa, layan, nomer, seri, bayar, ubah, pulabagai, harta kaya, golong, nasib, yaapa, telkom, rela, bayak, badan, usaha, tutup, bangkrut",negative,0 + -1 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + -2 + 0 + 0 + -1 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + -5 + 0 + 0 + -1 + 0 + 0 = -11,5
"login, kode, verifikasi, masuk, email, layan, call, center, bagus, no, call, center",negative,0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + -2 + 0 + 0 + 0 = -4,1
"kirim, uang, transaksi, gagal",positive,2 + 0 + 4 + 0 = 6,1
"ngajukan, pinjam, nomer, pakai, orang, pinjam, kredivo, tolong, blok, akun, atas, nama",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 = -3,1
"aplikasi, aksi, push, notifikasi, berkalikali, pas, buka, notifikasi, notifikasi, aplikasi, push, notifikasi",positive,0 + 2 + 0 + 0 + 0 + 3 + -3 + 0 + 0 + 0 + 0 + 0 = 2,4
"aplikasi, jelekdiii, aplikasi, suruh, verifikasi, emailudiiah, dii, verifikasi, email, tidiak, dii, klik, salin, taut",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -3 + -2 = -5,1
nan,negative,0 = 0,5
"bagus, manfaat",positive,-2 + 5 = 3,4
"kali, ppnnya, enak, pakai, dana",negative,0 + 0 + -5 + 0 + 4 = -1,1
"sulit, upgrade, pro, foto, ektp, jelasssssssssss, alasanyang, foto, jelasssssssssss, aplikasi, belah, mudah, sulit, auto, uninstall, bukanyang, mudah, mempersulitjangan, yangng, download, fitur, pro, perbaikilihat, tuh, aplikasi, belah, mudah, repot",negative,0 + 0 + 0 + 3 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + -4 + 0 + 0 + 0 + 0 + -4 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -4 + 0 = -6,1
"aplikasi, bohong, top, up, emoney, aplikasi, nila, saldo, masuk, saldo, aplikasi, kurang, tunggu, jam, respon, live, chat, direspon, call, center, hubung, linkaja, aplikasi, bohong",positive,0 + 0 + 5 + 0 + 0 + 0 + 2 + 2 + 0 + 2 + 0 + 0 + -1 + 0 + 2 + 3 + 3 + 0 + 0 + 0 + -1 + 0 + 0 + 0 = 17,1
"simpan, saldo, sini, yangng, log, dentidakn, akun, yangng, saldo, hilang, banyangk, pakai, lik, ssaja, wajib, kantor, bumn, jutidak, katanyang, aplikasi, resmi, bumn, lik, ssaja, pikir, deh, pakai, aplikasi, ini",positive,0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + -3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 = 2,1
"linkaja, livechat, selesai, solusi, fitur, unggah, bukti, gagal, lapor, admin, gerindra",positive,0 + 0 + -2 + 3 + 0 + 0 + 0 + 0 + 2 + 0 + 0 = 3,1
"aplikasi, monyetudh, daftar, verifikasi, suruh, bisanyesel, gue",negative,0 + 0 + -1 + 0 + 0 + 0 + 0 = -1,1
"aplikasi, kirim, duit, sukses, duit, tidakmasuk, kirim, balikin, saldoyang, arahin, live, chat, ditungguin, hari, jutidak, live, chay, tidakada, jelass, baik, customer, service, yanga",positive,0 + 2 + 0 + 3 + 0 + 0 + 2 + 0 + 0 + 0 + 3 + 3 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + -3 + 0 + 0 + 0 = 13,1
"pbb, pending, lama, kemarin, tanggal, november, bayar, rp, pending, kembali, saldo",positive,0 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 2 = 1,2
"aplikasi, bodoh, ibu, kali, ambil, gambar, photo, ktp, foto, terang, cantik, lepas, photo, langsung, buram, hasil, gambar, aplikasi, rendah, unduh, manusia, bodoh, apk, sampah",positive,0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + 3 + -2 + -2 + 0 + 0 + 3 + 0 + 3 + -2 + 0 + 0 + 0 + 3 + 0 + 0 + 0 = 4,5
"aplikasi, susah, buka, rugi",negative,0 + 0 + -3 + 0 = -3,1
"switch, link, syariah, link, konvensional, dana, simpan, link, konvensional",positive,0 + 0 + 0 + 0 + 0 + 4 + 0 + 0 + 0 = 4,5
ok,positive,4 = 4,5
bagus,negative,-2 = -2,5
"aplikasi, aman, kendala, pokokya, bagus",negative,0 + 0 + 0 + 0 + -2 = -2,5
bagus,negative,-2 = -2,5
"bagus, aplikasi",negative,-2 + 0 = -2,5
bagus,negative,-2 = -2,5
"akun, link, transaksi, hari",positive,0 + 0 + 4 + 0 = 4,1
"aplikasi, apa, woiisaya, transfer, bank, link, transfer, saldo, lapor, customer, service, kasih, barcode",positive,0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 2 + 0 + 0 + -2 + 0 = 2,1
top,positive,5 = 5,5
"buruk, banget, linkaja, upgdate, benerin, min, dengar, masuk, masuk, pelangtidakn, nya",positive,0 + 1 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + 0 = 3,1
"daftar, susah",negative,-1 + 0 = -1,1
"tarik, tunai, kartu, linkaja, sukses, duit, atm, resiya, telpon, call, center, kataya, suruh, tunggu, kali, jam, kali, bulan, urus, tolong, bijak, linkaja, duit, tolong, kerja",negative,2 + 3 + 0 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 + 0 + -3 + -3 + 0 + 0 + -3 + 2 = 0,1
"apl, keren",negative,0 + 0 = 0,5
"pilih, otpnya, email, pakai, nomor, telepon, kirim, nomor, telepon, otpnya, ssudah, pakai, linksaja, pakai, email, ssudah, aktif, pakai, email, kampus, chat, pakai, livechat, agen, respon, pilih, ganti, email",positive,0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 3 + 0 + 0 + 0 + 2 + 0 + -3 + 0 = 2,1
"tolong, bantu, akun, masuk, karena, nomor, daftar, hilang",negative,-3 + -3 + 0 + 0 + 0 + 0 + -1 + -3 = -10,2
"aplikasi, bantu, giat, transaksi, hari, friendly, user, thanks",positive,0 + -3 + 0 + 4 + 0 + 0 + 0 + 3 = 4,5
good,positive,5 = 5,5
"link, app, mudah, aktifitas, transaksi, setor, tunai, bayar, gojek, bayar, grab, food, bayar, bukalapak, bayar, blibli, kirim, uang, beli, paket, data, pulsa, belanja, online",positive,0 + 0 + -4 + 0 + 4 + 0 + 3 + -1 + 0 + -1 + 0 + 0 + -1 + 0 + -1 + 0 + 2 + 0 + -2 + 4 + 0 + 0 + -2 + 0 = 1,5
"aplikasi, batidakimana, beli, pulsa, link, tangtidakl, token, tangtidakl, tidaktidakl, masuk, limit, potong, cicil, pusat, bantu, jelas, tolong, sgera, atas, baik, kembali, limit, rugi, ah",negative,0 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + -3 + -1 + -3 + 0 + 0 + -3 + 0 + 0 + 0 + 0 = -9,2
"masalahmau, login, doang, pasuk, nomor, handphonekalo, transaksi, wajar, lah, login, doang, pasuk, nomor, handphonesialan, ribet, amatmana, tanda, unrecognise, request",negative,0 + 0 + -1 + -2 + 0 + 0 + 4 + -3 + 0 + 0 + -1 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = -5,1
"mintak, tolong, update, pilih, kirim, kode, otp, whatsapp",negative,0 + -3 + 0 + 0 + 2 + 0 + 0 + 0 = -1,5
aplikasi,negative,0 = 0,1
"aplikasi, jelikngirim, uang, bisaaneh, banget, fullservisependaftaran, jutidak, aktif, kayak, lagisekarang, tidaktidakl",negative,0 + 0 + 0 + 0 + 1 + 0 + 0 + -2 + 0 + 0 + 0 = -1,1
"email, verifikasi, kirim, email, ektp, daftar, satu, nomor, ku, daftar, linkaja, akun, basic",negative,0 + 0 + 2 + 0 + 0 + -1 + -3 + 0 + 0 + -1 + 0 + 0 + 0 = -3,1
"aplikasi, masuk",negative,0 + 0 = 0,1
"layan, santidakt, bagus, chat, live, telpon, call, center, transaksi, potong, terima, hasil, santidakt, rugi, minimal, tuh, duit, pelangtidaknnya, telan, diam, transaksi, rugi, customernya, uang, haram, telpon, bolak, cal, center, ntidakbisin, pulsa, doang, erti, erti, banyak, sekolah, kurang, duit, haram",positive,-2 + 0 + -2 + 3 + 3 + 0 + 0 + 0 + 4 + 0 + 2 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -1 + 4 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -1 + -2 + -2 + -3 + 3 + 0 + 0 + 0 = 9,1
"nyesal, top, up, uang, link, coatumer, dipeesulit",positive,0 + 5 + 0 + 0 + 0 + 0 + 0 = 5,1
"telkomsel, payah, canggih, ktp, pindah, nomor, fullservice, ampas",negative,0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 = -1,1
"pakai, aplikasi, inicuma, bayar, tolbeli, tokenisi, bensinsekarang, isi, token, login, input, no, hp, bisaketeranganya, unrecognise, request, moga, baik, sistem",negative,0 + 0 + 0 + -1 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 1 + -3 + 0 = -5,2
"link, payah, lot, kayak, dana, apgrade, tunggu, orang, butuh, susah, ikit, apak, payah",positive,0 + 0 + 0 + 0 + 4 + 0 + -1 + 0 + 0 + 0 + 0 + 0 + 0 = 3,1
tinggal,negative,-1 = -1,3
"akun, email, verifikasi, kirim",positive,0 + 0 + 0 + 2 = 2,1
"beli, topup, etoll, up, graet, masuk, etoll, yangng, kembali, uang, elektronik, sayangng, masuk, linkaajhid, linkajahid, tolong, doplover, yangng, kerja",negative,-2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 2 = -3,1
"kali, topup, tapcash, masuk, buset",negative,0 + 0 + 0 + 0 + 0 = 0,1
"login, pakai, nomer, telpon, sebelumya, chat, service, hk, asih, solusi, tolong, baik",negative,0 + 0 + 0 + 0 + 0 + 3 + 0 + 0 + -3 + 3 + -3 + -3 = -3,1
"top, up, etool, ribu, kagakk, masuk, gilir, ribu, masuk, sial, duit, tulis, transaksi, hasil, kagakk, masuk, ribu, duit",positive,5 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 4 + 3 + 0 + 0 + 0 + 0 = 12,1
"kode, tiket, masuk, aplikasi",negative,0 + 0 + 0 + 0 = 0,1
ox,negative,0 = 0,5
"jelek, isi, saldo, real, time, tunggu, kali, jam, parahhhh",positive,0 + -2 + 2 + 2 + 0 + -1 + 0 + 0 + 0 = 1,1
"isi, saldo, linkaja, pakai, kartu, debit",negative,-2 + 2 + 0 + 0 + 0 + 0 = 0,1
"mahal, ah",positive,1 + 0 = 1,1
"kayak, ceritaya, ngambil, paket, telpon, my, telkomsel, operator, bayar, linkaja, saldo, kurang, pakai, telpon, telpon, bantu, kayak, respon",positive,0 + 0 + 0 + 4 + 0 + 0 + 0 + 0 + -1 + 0 + 2 + 0 + 0 + 0 + 0 + -3 + 0 + 2 = 4,2
"aplikasi, link, buka",negative,0 + 0 + -3 = -3,5
"ssudah, topup, pakai, baca, hasil, pom, saldo, masuk, allah, malu, umur, hidup, uang, cash, jujur, sakit, putus, cinta",negative,0 + 0 + 0 + -3 + 3 + 0 + 2 + 0 + 5 + -2 + -4 + -2 + 0 + 2 + -4 + 0 + -3 + -3 = -9,1
"no, komen",negative,0 + 0 = 0,1
"tampil, ui, fitur, fitur, link, sssaja, suka, ssssaja, aplikasi, olshop, metode, bayar, link, sssaja, alih, bayar, transfer, bank, link, sssaja, metode, bayar, biaya, adminnya, gede, rp",negative,-1 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + -1 + 0 + 0 + 0 + 0 + 0 + -1 + 0 + 0 + -2 + 0 = -9,1
"bagus, mudah, transaksi, bayar, terima, uang, praktis, cepat",negative,-2 + -4 + 4 + -1 + 2 + 0 + 4 + -3 = 0,5
"isi, pulsa, listik, ribu, status, hasil, produk, dapat, claim, insident, balas",positive,-2 + 0 + 0 + 0 + 0 + 3 + 3 + -2 + 0 + 0 + -1 = 1,1
"kendala, tangan, orang, pikir, menggunankan, app, lai, cepat, tanggap",negative,0 + 1 + 0 + -1 + 0 + 0 + 0 + -3 + 3 = 0,1
"buka, ssudah, menit, kali, coba, menit, ssudah, kali, menit, ingat, buka, aplikasi, transaksi, hambat, kapok, pakai, linkaja",negative,-3 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + -2 + -3 + 0 + 4 + 0 + 0 + 0 + 0 = -6,1
"tolong, bantu, saldo, sukses, isi, saldo",negative,-3 + -3 + 2 + 3 + -2 + 2 = -1,1
ribet,negative,0 = 0,1
"mudah, gratis",negative,-4 + 4 = 0,5
"apilaksi, link, nanganihn, customer, transfer, pending, kali, jam, adu, live, chat, adu, emali, tolong, nih, apikasi, sebener, ngrampok, uang, customer, harus, apliksi, inih, mending, lapor, pihk, wajib, kayak, beginih, bayak, customer, duit, samper",positive,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 3 + 3 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 2 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 3,1
"aplikasi, tipu, saran, aplikasi, permasalan, akun, tanggapai, tespon",negative,0 + 0 + -2 + 0 + 0 + 0 + 0 + 0 = -2,1
"linkaja, layan, buruklivchet",negative,0 + -2 + 0 = -2,1
"aplikasi, proses, upgradenya, proses, tunggu, tau, gagal, coba, upgrade, balas, cepat, daa, jam, apa, proses, upgradenya, jam, balas",negative,0 + 1 + 0 + 1 + -1 + 0 + 0 + -2 + 0 + -1 + -3 + 0 + 0 + 0 + 1 + 0 + 0 + -1 = -5,4
"tibakeluar, solusi, min",positive,0 + 3 + 0 = 3,5
"aplikasi, tik, njing, transfer, dana, bank, baca, linkaja, masuk, ssudah, hasil, kirim, bankya, ssudah, lapor, via, chat, respon, pas, upload, bukti, transfer, aplikasi, ngebug, situs, web, jutidak, lapor, kendala, njing, tipu",positive,0 + 0 + 0 + 0 + 4 + 0 + -3 + 0 + 0 + 0 + 3 + 2 + 0 + 0 + 2 + 0 + 3 + 2 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 0 = 18,1
"kode, tiket, coook, masuk, aplikasi, buka, aplikasi, otomatis, kode, tiket, hapus, data, install, ulang, ngefek, hapuslinkaja",negative,0 + 0 + 0 + 0 + 0 + -3 + 0 + 3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 0,1
morkotop,negative,0 = 0,5
"setia, linkeaja, keenapa, arang, buruke, keli, tidake, tarike, saldo, tidake, transfer, saldo, live, chat, tidake, tanggap, tidake, selesai, tambah, maslaah, saldo, tidake, gunakean, tidake, tarike, transfer, layan, buruke",positive,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 2 + 0 + 0 + 2 + 3 + 3 + 0 + 3 + 0 + -2 + 3 + 0 + 2 + 0 + 0 + 0 + 0 + 0 + -2 + 0 = 14,2
"loggin, pakai, email, sudiah, indiak, aktif, ganti, diengan, email, brusudiah, chat, lum, adia, blsanmksh",negative,0 + 0 + 0 + 0 + 0 + -2 + -3 + 0 + 0 + 0 + 3 + 0 + 0 + 0 = -2,5
"apk, buruk, kirim, uang, susah, sekalino, recomend",positive,0 + 0 + 2 + 0 + 0 + 0 + 0 = 2,1
"tolong, baik, cepat, top, masuk, saldo",negative,-3 + -3 + -3 + 5 + 0 + 2 = -2,2
"min, kirim, uang, ewallet, biar, rame, guna",negative,0 + 2 + 0 + 0 + -1 + -2 + 1 = 0,5
"admin, isi, saldo, pakai, bayar, indomaret, bisa",negative,0 + -2 + 2 + 0 + -1 + 0 + 0 = -1,5
"akun, gmail, hilang, nomor, hp, bantu, customer, service, dipersulittolong, masuk, pakai, nomor, tlpn, sms, jugajngn, pakai, gmail",negative,0 + 0 + -3 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = -6,1
"transfer, uang",negative,0 + 0 = 0,1
"apk, burukgua, top, up, saldo, masukketerangan, top, up, nerhasilgila, apk",positive,0 + 0 + 5 + 0 + 2 + 0 + 5 + 0 + 0 + 0 = 12,1
"aplikasi, link, ssaja, baik, aplikasi, link, ssaja, buka, bayar, listrik, mohon, atensi, terimakasih",negative,0 + 0 + 0 + -3 + 0 + 0 + 0 + -3 + -1 + 0 + -2 + 2 + 5 = -2,1
"pindai, saldo, susah",positive,0 + 2 + 0 = 2,3
nan,negative,0 = 0,5
"top, up, hasil, saldo, tambah, chat, ribet",positive,5 + 0 + 3 + 2 + 3 + 3 + 0 = 16,1
ok,positive,4 = 4,5
ok,positive,4 = 4,5
okay,positive,4 = 4,5
sukses,positive,3 = 3,5
"layan, super",negative,-2 + -3 = -5,1
"mantap, akurat",positive,5 + 0 = 5,5
"konfirmasi, akun, cepat",negative,3 + 0 + -3 = 0,1
"meeingankan, langgan, tari, antri, liakaja",positive,0 + 2 + 1 + 0 + 0 = 3,2
"susah, linkssaja, bikin, email, tedeksih, ganti, pw, ssaja, ribet, email, tedeksih, hadeh, riwet, ganti, pw, email, ssaja, ribet",negative,0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 = -6,1
"kak, uprgade, full, serivce, pakai, tarik, tunai",positive,0 + 0 + 0 + 0 + 0 + 2 + 3 = 5,5
"susah, verifikasi, tunggu, verifikasi",negative,0 + 0 + -1 + 0 = -1,1
"aplikasi, bagus, bagus, jelek, sayanga, bilang, jelek, sayanga, upgrade, isi, data, eh, diabilang, data, sayang, contoh, ktp, ktp, sayanga, suruh, ganti, sinting, deh",negative,0 + -2 + -2 + 0 + 0 + 0 + 0 + 0 + 0 + -2 + 0 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 + 0 + -3 + 0 + 0 = -12,1
ok,positive,4 = 4,3
nan,negative,0 = 0,5
"donlot, kelar",positive,0 + 3 = 3,1
lumayan,negative,-1 = -1,3
oke,positive,2 = 2,5
"live, chat, customer, service, linkaja, cepat, merespondan, kecewa, aplikasi, linkaja",positive,3 + 3 + 0 + 0 + 0 + -3 + 0 + 0 + 0 + 0 = 3,1
"aplikasi, jelek, loging, masuk, dasar, aplikasi, eror, jelek",negative,0 + 0 + 0 + 0 + 0 + 0 + 0 + 0 = 0,1
"biaya, layan, estatement, kayak, orange, biru",negative,0 + -2 + 0 + 0 + 0 + 0 = -2,3
"jelek, aplsikasi, tarik",positive,0 + 0 + 2 = 2,1
mantap,positive,5 = 5,5
