Review Text,Username,Rating
"Selamat malam, maaf saya mau tanya, kenapa saya nggak bisa login? Saya minta kode OTP tapi kenapa dikirimnya ke email, sedangkan saya buka email juga nggak ada kode OTP nya ? Gimana solusinya? Saya nanya apa? Dijawabnya apa ? Nggak nyambung.",Dadan Suherman,1
Gangguan lama...gk ada penyelesaian,Eneng Risna,1
mantap,Riki Maidar,5
Good,M ASWAR ASHARI (Awaay),5
"Aplikasi apa ini,saya udh top up lewat bank udh 2 kali tapi saldo gak bertambah,gimana cara kerja kalian,kembalikan saldo saya itu,aplikasi apa kaya gini",Figen Pebrianza,1
Ada ganguan yh,Muksin Cin,5
Gak bisa masuk,Syafa Risty fioneta,1
Bosok,farid fhrzi,1
Lancar jaya,Johan Wahyudi,5
Akhirnya aku hapus aplikasi ini sudah berapa juta aja saldo saya hilang ketika ngisi kartu tol dan tak bisa kembali Di suruh klik pusat bantuan gak ada respon Hati - jika menggunakan aplikasi ini di saat ngisi kartu tol anda past akan hilang saldo anda dan tidak masuk di kartu tol anda,Andri Kurniawan,1
"Baru kali ini mau nyoba link Anjhink ini, ternyata kalo belum verifikasi ga bisa transaksi gaes ,bahkan pake qris pun,cuma bisa beli pulsa doang,mana mahal mahal lagi.nyesel gw.ga usah pake link Anjhink ini lah,mending ovo atau dana aja udah ga ribet",patrick bintang darat,1
"Badan Usaha Penggelola Layanan Keuangan Apa Berubah Nama. PT.fintek finarya Menjadi PT.fintek Karya Nusantara.Apa jadinya Para Nasabah/Penabung,Apa Layanan Dan Nomer Seri Pembayaran Berubah Pula.Bagai mana jadi nya Harta²/Kekayaan Golongan Nasib nya.Apa Telkom Merelakan Banyak nya Badan Usaha Besar yang Tutup Bangkrut.",Agus Siswanto,5
"tidak bisa login karena kode verifikasi tidak masuk ke email, pelayanan call center tidak bagus, no call center tidak jelas yang mana",Debby Irfandinata,1
"Tiap mau kirim uang, transaksi sering gagal",Roby Kusuma,1
Saya tidak pernah ngajukan pinjaman tapi kenapa nomer saya di pakai orang lain buat melakukan pinjaman di kredivo tolong blok aja akun mengatas nama kan saya.,Arief Efendy,1
"Aplikasi melakukan aksi push notifikasi yang sama berkali-kali. Tapi pas dibuka hanya ada 1 notifikasi. Walau notifikasi sudah dilihat, aplikasi masih push notifikasi yang sama.",Raij (RJ),4
"Aplikasi jelek,,,di aplikasi suruh verifikasi email,,,udah d verifikasi email malah gak bisa d klik ataupun salin tautan",Amei Ramdhanny,1
Sangat baik,Eva Natalia,5
Bagus dan bermanfaat,Ayat Toyat,4
Banyak kali ppnnya enak pakek dana,Nuzul Ikhwan,1
"terlalu di persulit untuk upgrade pro . padahal fto e-KTP sudah sangat amat jelasssssssssss tapi alasannya foto kurang jelasssssssssss tidak seperti aplikasi sebelah mudah di gunakan dan tidak sulit seperti ini auto uninstall aja ya ..... bukannya mempermudah malah mempersulit,..,jangan pernah ada yang download lagi sebelum fitur pro nya di perbaiki...,lihat tuh aplikasi sebelah mudah tidak repot seperti ini",Miyako 606,1
"Aplikasi pembohong!!! Saya sudah top up e-money di Aplikasi ini senilai 500.000, saldo masih belum masuk, tapi saldo aplikasi sudah berkurang, saya sudah nunggu lebih dari 24 jam, gak ada respon sama sekali !!! Live chat juga gak guna, gak direspon, call center juga gak bisa di hubungi !! Emang Linkaja aplikasi pembohong !!!!",Mijil Dipo Pringgokusti,1
"Nyimpen saldo disini 5 tahun yg lalu, skr baru log in lagi dg akun yg sama tapi saldo hilang walaupun ga banyak tp kog bisaaa, dulu pake link aja karna diwajibkan dari kantor (bumn juga) katanya aplikasi resmi bumn ya link aja. Pikir² lg deh kalo mau pake aplikasi ini",Firdaus Nata,1
"Linkaja livechat tidak menyelesaikan masalah atau memberi solusi, fitur unggah bukti gagal terus, apa perlu lapor admin gerindra ?",Wahyu Sandy Hidayatullah,1
"Aplikasi monyet,,udh daftar masih aja verifikasi terus disuruhnya. Tapi tidak bisa bisa..nyesel gue",Mintarsih Tarsih,1
Aplikasi gajelas kirim duit sukses duit nya gamasuk kalo ga kekirim ya balikin lagi saldonya malah di arahin live chat ditungguin seharian juga live chay nya gaada gimana sihh 👎👎👎 gajelass perbaikin ituu cs nyaa,ALDI RISWANDI,1
"PBB masih PENDING lama² dari kemarin tanggal 25 November 2024 ,ada masalah sudah bayar Rp.403.650 yg pending belum dikembalikan saldo saya",Ruthania 85,2
"Aplikasi bodoh , saya hampir beribu kali ambil gambar photo KTP , sebelum kita foto tampak terang cantik . Lepas kita photo langsung buram hasil gambar . Aplikasi rendahan unduh manusia bodoh . Apk sampah",Syah Rizal,5
"Aplikasi susah di buka, rugi saya",Illa Tavilawati,1
Bagaimana cara switch link syariah ke link konvensional krn dana tersimpan di link konvensional,Eko Travada,5
ok,FREEMAN !YGW!,5
Bagus,Yanto Daeli Daeli,5
"Sejauh ini aplikasi nya aman, tidak ada kendala, pokoknya bagus.",AHMAD PERWIRA,5
Bagus,Har yanto,5
Bagus aplikasi,Sumaji Sumaji,5
Bagus,Dani Codet21,5
Kenapa akun link saya tidak bisa transaksi seharian ini,Aku Yaaku,1
"Aplikasi apalah inii woii,saya TF dri bank ke link ajaa ,udah ke TF tapi saldo ga adaa ,laporan ke cs malah di kasih barcode😡😡😡😡😡",Suaib Batubara,1
Top,Ahmad Arif,5
Buruk banget linkaja lama ga bisa di upgdate benerin lah min dengerin masukan masukan pelanggan ny,Mila Rosa,1
mau daftar susah,gani,1
Saya tarik Tunai tanpa kartu. Di LINKAJA sukses tpi duit di ATM ngga mau keluar sama resinya. Telpon call center katanya suruh nunggu 14X24 jam. Tpi udah lebih dari 14X24 hampir 1bulanan msih belom diurus. Tolong kebijakan LINKAJA. Duit saya sampai skrang belom balik lg. TOLONG KERJA SAMA NYA!!,mondy Ap,1
Apl keren,Cr7 Recing,5
"Pilihan otpnya cuma di email aja, ngga ada cara lain, harusnya kalo pake nomor telepon dikirim ke nomor telepon otpnya, saya udah lama ngga pake linkaja mau pake lagi email saya udah ngga aktif soalnya pake email kampus, chat pake livechat juga agennya ngga respon² ngga ada pilihan ganti email",Fikri,1
Tolong dibantu akun saya tidak bisa masuk dikarena kan nomor yang saya daftar sudah lama hilang,CRAZY GAMING 97,2
Aplikasi sangat membantu kegiatan transaksi harian dan friendly user. Thanks,Rafi Hanan Ar-Romy chennel,5
Good,TITO BAGUS,5
"Selama saya menggunakan Link Aja, app ini sangat memudahkan saya dalam berbagai aktifitas, terutama dalam bertransaksi seperti setor tunai, bayar gojek, bayar grab food, bayar di bukalapak, bayar di blibli, kirim uang, beli paket data dan pulsa sampai belanja online. ❤👍",Muhammad Nurwahid,5
"Ini aplikasi gimana sih Pembelian pulsa di link aja tanggal 24 sebesar 101.000 dan token saya di tgl 25, 20.000 gagal smua ga masuk tapi limit terpotong dan ada cicilannya. ke pusat bantuan malah ga bs ga ada kejelasan tolong sgera di atasi dan di perbaiki kembalikan lg limitnya segera jgn merugikan ah..",Marlyana Zulya,2
"Ini gimana sih masalah,mau login doang harus masukin nomor handphone,kalo transaksi sih wajar lah,lah ini login doang harus masukin nomor handphone,sialan ribet amat,mana ada tanda ❌ unrecognise Request terus,",Mr. Praa,1
Mintak tolong dong di update ada pilihan kiriman kode otp melalui whatsapp,Martawulandari 123,5
Applikasi ga guna,panji junior,1
Aplikasi ini tambah jelik..ngirim uang jadi ga bisa...aneh bnget Padahl sdh fullservise..pendaftaran juga sdh aktif Ga kayak dulu lagi..sekarang lebih gagal trus,Ridwan Gggg,1
"1. Email verifikasi gak ada terkirim ke email 2. E-KTP udah terdaftar, tapi gak ada satupun nomor ku yang daftar di LinkAja. Akunnya masih basic",Shin Min Ra,1
Aplikasi gaje ga masuk²,Akun Gacha02,1
"Pelayanan yang sangat kurang bagus, chat live gak guna, telpon call center gak guna, Transaksi kepotong tp ga terima hasilnya, sangat merugikan sekali ini, Minimal tuh kembali duit pelanggannya, gak di telan saja di diamkan jika ada transaksi yg merugikan customernya, uang haram jadinya... Telpon bolak balik ke cal center gak guna, ngabisin pulsa doang ga ngerti ngerti, banyakin sekolah dan kurangin duit haram",aguswinduutomo 42602,1
nyesal top up uang ke link aja klo pada akhirnya coatumer dipeesulit,Maz One,1
"Telkomsel payah tidak canggih, masa ktp tidak bisa dipindahkan ke nomor lain untuk jadi fullservice. Ampas",William,1
"sudah biasa pakai aplikasi ini,cuma buat bayar tol,beli token,isi bensin,sekarang mau isi token sekarang mau login malah input no hp ngga bisa,keteranganya UNRECOGNISE REQUEST semoga di perbaiki lagi sistemnya",dana segar,2
link aja payah lemot ga kaya dana buat apgrade nya kelamaan harus nunggu jelas orang lg butuh2 nya susah ikit apak ini payah,Dody Hidayat,1
Ketinggalan jauh! 🤣🤣🤣🤣🤣,Rudd Bango,3
G bisa buat akun Karna email verifikasi g di kirim...,Fasul Freedom,1
Beli topup E-toll mlh lama up graet dan gk bisa masuk E-toll ya gimna sih kembalikan uang elektronik saya jika gak masuk.. @linkaajh.id #linkajah.id tolong doplover ya kerja baik lah,RANGGA CHANNEL V5,1
3 kali topup tapcash gak masuk ...buset dah,riski saputra,1
"ini kenapa kok gk bisa login pakek nomer telpon? padahal sebelumnya bisa kenapa ini gk bisa, chat service nya juga gk guna hk ngasih solusi, tolong segera di perbaiki",Reza Lovianto Lajuardi,1
Apa apaan ini top up etool. 100rb kaga masuk. Giliran 20rb masuk. Sialan mana duit satu2 nya. Tulisan transaksi berhasil tapi KAGA MASUK. 100rb juga duit itu,Istiyar Priyanto,1
"apaan sih tiba2 keluar kode tiket terus, gabisa masuk aplikasi",Miku,1
Ox,Geris Nay,5
"Jelek, isi saldo tidak real time, tunggu 1x24 jam parahhhh",el Joe,1
Kapan saya bisa isi saldo Linkaja pake Kartu Debit????,Muhamad Niko Kasah,1
Mahal ahh,Ayip Ramadhani,1
"ini kayak mana ceritanya, aku ngambil paket telpon dari My telkomsel 7 hari ke semua operator bayar melalui LinkAja kok saldo nya berkurang tapi belum bisa dipake buat telponan? telpon bantuan, tapi ntah kayak mana mana respon nya.",Heacker Akun Orang,2
aplikasi link aja belum bisa di buka,Edi Purwanto,5
Udh topup pake BCA dan udah berhasil di depan POM SALDO masih blom masuk.. Ya allah malu nya sampai seumur hidup mana gk ada uang cash.. Jujur lebih sakit daripada putus cinta,kunto 90an,1
No komen,Taupik Hidayat,1
"Untuk tampilan ui dan fitur fitur di link aja saya suka, hanya saja banyak aplikasi olshop yang gak ada metode pembayaran menggunakan link aja, jadi harus di alihkan ke pembayaran menggunakan Transfer antar bank agar bisa menggunakan Link Aja sebagai metode pembayarannya, dan itu biaya adminnya cukup gede bisa sampai Rp. 4000.",Asriadi adi,1
Baguss untuk memudahkan transaksi pembayaran ato penerimaan uang praktis dan cepat,Priyagung Budianto,5
"Baru baru ini isi pulsa listik 100ribu, status berhasil tapi produknya tidak saja dapatkan sampai hari ini. Sudah claim insident tapi tidak ada balasan yg tepat!!",Dessy Febriany,1
Setiap ada kendala penanganan nya lama sehingga orang berpikir lebih baik menggunankan app lainnya yang cepat tanggap,kasih hokcai,1
"Ini kenapa gak bisa dibuka, udah lewat dari 10 menit 3X, kata coba lagi setelah 10 menit, udah 3X dari 10 menit masih, diperingati seperti itu, saya skrg sangat penting dengan membuka aplikasi ini, mau transaksi terhambat, gimana sih! Wah kalo gini kapok pakek linkaja",Subandi,1
Tolong bantu saldo saya kok gak ada padahal sudah sukses isi saldo,Doraemon 1001,1
Ribet,Araa Ama,1
Mudah dan gratis,Sofyan,5
Pihak apilaksi link aja gimana sih gak nanganin customer masa transfer pending trus udh 2x24 jam ngadu ke live chat gak jelas ngadu ke emali sama gak jelas juga tolong dong ni apikasi sebener nyaa mau nya apa sih mau ngrampok uang customer apa gimna sih seharus nya apliksi ini mending di lapor kan ke pihk berwajib kalau kaya gini cara nya bayak customer yang duit nya gak balik samper skrang,m.taufik gabriel,1
"APLIKASI PENIPU YANG SEPERTI INI SAYA SARANKAN UNTUK TIDAK MENGGUNAKAN APLIKASI INI, KARENA APA PUN PERMASALAN MENGENAI AKUN KITA, TIDAK AKAN DI TANGGAPAI ATAU DI TESPON",andri alfin,1
Ini linkaja pelayanan buruk.livchet gak bisa,Adul Kad tahu,1
"Aplikasi yg cukup baik, tp proses upgrade-nya lama prosesnya, lama nunggu gk taunya gagal, ini coba upgrade lg blm ada balasan gk secepat di DA*A jam brp pun hari apapun proses upgradenya 2 jam sdh dpt balasan.",Awang ganteng,4
masih sering tiba tibakeluar sendiri minta solusi nya dong min,Sukri Yadi,5
"Aplikasi t4ik 4njing. Transfer dana dari bank BCA ke Linkaja ga masuk, padahal udah berhasil terkirim dari banknya, udah lapor via chat ga ada respon, pas mau upload bukti transfer aplikasi ngebug dan situs web nya juga ga bisa melaporkan kendala. 4njing. Penipu.",M. Zikri Febrian,1
"Keluar kode tiket terus coook.. gk bisa masuk aplikasi. Tiap buka aplikasi, otomatis keluar kode tiket sendiri... sudah hapus data sampai install ulang tetep gk ngefek. #HAPUSLINKAJA",Ardy Yudiantoro,1
Morkotop,Dedek Jaya,5
"Saya setia dengan linkaja tapi kenapa sekarang buruk sekli dan juga saya tidak bisa tarik saldo dan tidak bisa transfer saldo, saya sudah live chat tidak ada tanggapan, tidak ada penyelesaian maslah, malah yang ada bertambah maslaah, saldo masih 600k tidak bisa di gunakan, tidak bisa di tarik maupun di transfer. Pelayan buruk",erick irawan,2
"Mau tanya mau loggin pake email lama udah nda aktif, bsa ganti dngan email yg bru.....udah d chat lum ada blsan....mksh",burok 57,5
"Apk buruk, mau kirim uang saja susah sekali.no recomend 👎",Bima Nasutiyono,1
Tolong diperbaiki cepat lah masa saya top blm masuk juga saldonya gimana si,Pikri Yandi,2
Min tambah kirim uang ke e-wallet biar tambah rame penggunanya,MUHAMAD YUSUP .S,5
Admin saya tidak bisa isi saldo pakai pembayaran indomaret sampai kapan bisanya?,XlD_15_MUH RIDWAN,5
"Akun Gmail ilang cuma ada nomor hp minta bantu ke cs dipersulit,tolong dong bisa masuk pakai nomor tlpn dan SMs juga,jngn pakai Gmail aja",Kenanga Pus pita s,1
Kenapa ga bisa transfer uang ya,Ridwan FS,1
"Apk yang sangat buruk,gua top up malah saldonya tidak masuk,keterangan top up nerhasil,gila betul apk ini",Win Gayolues,1
"Apa aplikasi link aja sedang perbaikan? Karena aplikasi link aja tdk bisa di buka , karena saya mau bayar listrik mohon di atensi terimakasih",Kadek Mustiada,1
Pemindai saldo susah,Maya Bawell,3
👍👍👍👍👍👍👍👍,adie shaputra351,5
Top up berhasil tapi saldo tidak bertambah chat pun ribet,RISKI WILANTARA,1
ok,Keny,5
ok,triwahyu fujianto,5
okay,Ryan _97,5
Makin sukses selalu,apolonius Nehe,5
Layanan nya lama super lama,ARI FAI,1
Bener benar mantap dn akurat,Jaja Aang,5
Lama untuk konfirmasi akunnya tidak cepat,Habibi,1
meeingankan pelanggan untuk penarikan dgn harus antrian liakAja👍,Taufik Amrifas,2
Susah amat yaaa linkaja bikin email lama tidak tedeksi terus mau ganti pw aja ribet terus email yg sama tidak tedeksi hadeh apa si ini riwet ganti pw dan email sama aja ribet,Dafiq Utama semester 8,1
Kak cara uprgade full serivce gimana mau saya pakai untuk tarik tunai,Arif Rachman,5
Susah melakukan verifikasi nunggu sudah lama gak di verifikasi,Doresma Ma,1
"Aplikasi bagus utk yg bagus tapi yg jelekpun banyak, termasuk saya yg bilang ini jelek kenapa? Saya mau upgrade udah isi data, ehh... diabilang data say sdh ada, contoh ktp, emng ktp saya suruh ganti. Sinting deh",Wedhy Rachmad Triandhana,1
ok,Muliawati. B. Paduli,3
Baik,Fajar Ramadhan,5
"Donlot nya g kelar""",Njyy Nifa,1
Lumayan,Tuan Tanah Aceh,3
Oke,Arjuna Butar,5
"Live chat/ cs linkaja tidak bisa cepat merespon,,dan saya sangat kecewa dengan aplikasi LINKAJA",Nadiya Suwandana,1
Aplikasi nya betul betul Sangat jelek loging atau masuk pun tidak bisa dasar aplikasi eror atau sangat jelek,Ganda Metal,1
Waaahhh Sekarang ada biaya layanan E-statement nya yaa tiap bulan Ga kaya Orange sama Biru,tony_ldt,3
jelek aplsikasi nya ga bisa narik,Afreno Reno,1
Mantap,Zainullah,5
"kok makin jelekkkk link aja,transaksi emoney, sukses tpi update saldo g nambah..udah ke dua kali nya bulan lalu juga gitu,mna nunggu seminggu duitnya baru balik...jelekkk link aja skg...jelek jelekk....",JOE HARRY,1
Kenapa linkaja gak bisa livechat.soalnya mau pergantian nomor hp.sangat kecewa gk ada respon dari live chat,EDI MULYONO,1
Coba sediakan dong pengaturan merubah nomor handphone linkaja tanpa harus ke GraPARI linkaja. Masih bingung 😕,Qindi Al Muttaqin,2
Apk yang sangat tidak menguntungkan bahkan kita jadi buntung kirim uang biaya admin sangat besar saya kirim uang 36000 adminnya 6300 Saya sangat menyesal instal apk ini,Jepri Tampubolon,1
menahan saldo,Fabiandra akmal Zhafir,1
Sangat kecewa dengan aplikasi ini dan saya sangat kecewa,Setyo Prihatin,1
"Setiap mau bayar paket data pasti warning sedang gangguan sistem. Ini karya anak bangsa yg mana?? Gak malu nih sama 0vo, gopay, debet bank dll? Sat set selesai",dedy sukmana,1
Saya beli pulsa belum masuk masih pending apakah lg gangguan apa ya,Grab Muhaimin,5
Asli ni aplikasi sangat menyebalkan,Nico Nico,1
"Menyesal gue aplikasi LinkAja Mau Upgrade Full Pengisian Data Malah Ga Bisa, Tolong Jgn Menghambat Kami Yg Mau Upgrade Full Data Kami Admin,Sangat Tidak Merekomendasikan",Yotona Putro,1
Mantap,Apen Lino,5
ok,Lis Dahlia,5
sangat bagus,Hasan Hamzah,5
Paylater nya tidak bisa buat beli pulsa..dan sekarang malah tidak bisa semua .. baru bergabung sama link aja tapi sudah tidak terlalu memuaskan aplikasi nya,Nurhidayat Nurhidayat,1
Keren sih aplikasinya sayang nya gak bisa kebuka gara gara imail lupa pasword,Endod Esih,3
Laamaaaa bangeett proses upgrade nya 😭 mau narik duit gak bisa,Sulistya Wati,2
Isi pulsa gak masuk2 tp bgtu laporan katanya livechat tp tyta AI yg gak ada solusi. Kecewa!,Yudha Hastuty,1
Ok,MPS MPS,5
"Woii lama bangt update data gak tau orang mau tarik saldo apa, udah 2 hari , pengajuan data blm diproses2 , kerja makan gaji apa aplikasi ini😡😡😡😡😡",Faris Faris,2
Ok,Abdal Sakur,5
"Apa""an ini, upgrade kok smpe Berjam jam",Indra Yusthian,1
"Kenapa Pengisian Saldo Dari ShopyPay Nggak Masuk, Tolong Di Perbaiki",Dhyas Kazzama,3
Tidak ada pilihan verifikasi selaij email,bang hanz,1
"Live chat ga guna. Top up aja yg bisa. Giliran mo dipake pin salah. Menu ""lupa pin"" Ga bisa. Harus live chat. Gw tungguin berjam2 ga ada yg balas jir. Aplikasi tipu",ALI MUDOFIR,1
tumben..di isi bisa buat transaksi kok gak bisa bisa.. ada apa,al iru,2
Ling syah ga bisa di buka ada duit nyah gimna nih,Betet Tet,5
Trimakasih,Inara Cantik,5
Mohon dong jangan di persulitkan saldo ku terisii akun malah di persulit,Farhan An,1
Bagaimana in sudah d update disuruh muluh cek padahal sudah d cek d suruh terus kapan berhasilnya 🥲🥲🥲 tolong d perbaiki untuk update nya ya sya cuma kasih bintang,Faisal Mukarram,3
"Tolong dikasih menu untuk bisa ganti nomor HP seperti e-wallet sebelah, bisa dg memasukkan password,pin, atau OTP.",Syafi'il Anam,1
"Aplikasi Taik Kucing,Untuk Transaksi Aja di Persulit.Harus Pakai Upgrede2 Segala.Padahal KTP Sudah Kebanyakan Buram Dan Kabur.Karena Pengurusan KTP Sekarang Lama Dan KTP Juga Berlaku Seumur Hidup.G Senyaman Aplikasi DANA Cepat Dan Simple.Pantas Aja Out Let nya Langka Dan Jarang.Mungkin Hampir Tidak Ada",Yudika Sayuti,1
"Force close setelah daftar, aplikasi busuk",Novemb Channel,1
Dompet digital link .. dompet digital paling bokbrokkk layanan.. sulit mnghungi vostomer service.. hanya melalui chat itu pun lamban robotttt sampah yang jawab tidak seperti dompet digital lain nya Dana..ovo...gojek dll. mudah untuk akses akun dan mndptkan kode otp .. hello hari gini akses masuk kau hanya melalui email.. tdk semua orang bisa masuk email.. bbrpa alsan . .hp hilng . lupa sandi.. nomor pendptran email tdk aktif... email tidak bisa masuk.. auto unisal aplikasi sampah...,Henna,5
Akun tidak bisa diakses..aplikasi paling ribet,TaufikHidayah Ismail,1
Jelek lama sekali full serfice upgradenya,asmy asmy,1
"Saya sangat kecewa dengan link aja , setelah sekian lama saya pake , sekarang kenapa pembayaran listrik tokennya via SMS dan sampe sekarang tidak ada SMS masuk dari agent link aja , bagaimana pertanggung jawabannya",Klaveres Game,5
Ok,Rudy Eko Waluyo,5
Aktif kan linkaja. eg bisa tebuka linkaja puyaku,RONI MUARA SATUI,5
Mantap betul,Muhammad Zaki Muhammad Al jecki (Al JECKI),5
Sangat bagus,Al Long,5
Bantu akun saya ke full servia,Uyung fii,5
susah masuk padahal jaringan bagus,Ahmad a.s,3
Saya tidak tahu apa masalah aplikasi ini. Yang jelas saya beli token listrik statusnya sukses tapi token nya tidak kunjung di kirim via SMS sudah 3 hari tidak ada penjelasan operator LinkAja. Rp.100 000 token listrik tidak ada di kirim sampai sekarang.chat live nya susah di hubungi.,Padede 12,2
Good aplikasi,Wachyu B empon wikarta,5
Tgl 11/11/2024 saya membeli token listrik melalui link aja saldo terpotong namun nomor token yang di sampaikan akan dikirim melalui SMS tidak saya dapatkan hingga hari ini dan dana saya sebesar Rp. 52.750 hilang tanpa mendapatkan nomor token listrik,Evlyn Geru 17,1
bermanfaat dan mudah digunakan 👍Semoga link lancar dan amanah 🤲,Nur Amiruddin,5
Bagus,Sutanda Wahid,5
"Paling jelek sih ini apk, kirim uang nyampe engga ko uangnya malah ilang ga balik lagi udah berbulan bulan... hati hati bahaya ini apk ga amanah...",Erni Marlianti,1
"PENARIKAN TIDAK BISA DI ATM SALDO TERPOTONG LAPOR Cs di oper"" ke email Robot doang keknya tu yg beles mana duit gak ada lagi . mau bayar makan ama rumah sakit ini",harazuku tnt,1
"Pembelian token listrik PLN senilai 201500 pada tgl 11-11-24 diaplikasi sukses, token yg katanya dikirim melalui SMS ke no terdaftar di link aja sampai saat ini tdk ada... aplikasi sampah ini",Indra Jaya,1
